30000 30000
2528 1940 17604
6028 6392 12765
14298 18156 22802
28606 19672 10204
4060 10473 3434
16765 8250 15227
18891 22513 13943
4022 584 25256
12391 12331 18758
18896 6597 13960
10281 19982 12642
11468 3053 10187
15733 83 1107
11793 12471 10660
17782 16624 5863
25314 1268 25685
24161 6253 21936
9567 17631 7177
980 16801 5612
18696 19685 27588
15895 26175 7081
5407 23049 1456
29023 23312 203
17467 2506 13543
18991 5219 27301
9394 3408 29821
21228 11309 23758
19415 1450 14150
8425 15604 12744
15588 19392 10354
2166 10004 16799
12320 17239 14162
20422 26493 20566
1780 8174 21232
4188 19353 23351
16267 10788 4793
1310 11517 20376
10602 4358 21940
23183 3556 1586
15715 18071 8543
4937 17772 12530
11464 20501 14711
10398 14795 5646
28445 2416 2412
14991 26626 16112
19499 16206 24643
24261 20894 20025
11755 12874 6924
18297 312 6079
14585 8421 22352
1332 24435 4652
28359 1186 21164
7609 6084 18871
6653 27936 24335
14954 23828 3013
2067 20133 12272
15242 17832 15610
3266 18436 13620
21284 14473 16002
27496 10331 16196
20306 2779 10875
13389 12455 732
516 21314 4520
28296 14897 7692
23056 3295 3129
23085 18519 4471
8620 6953 11549
4262 19038 18316
22231 11204 22796
14123 17418 16757
4775 8713 1526
18070 5477 12875
15816 23259 19768
18135 2945 17779
24933 25285 15425
17754 23361 23187
15487 22728 5158
2647 3181 10571
1523 100 19139
28918 22798 29340
25748 11002 22644
16439 4373 24898
16583 9591 9796
21042 18743 18157
25824 9098 3928
18544 27745 17078
9085 15079 17847
3841 997 11312
25675 26250 6747
19153 19940 25691
27822 21809 8867
13674 6558 27569
26000 1403 25
5391 18632 4548
960 22230 6495
4280 27900 13341
24010 28522 25321
28327 17851 21057
9704 10770 15997
17228 5938 17186
4693 9631 22772
22282 17103 14977
742 3150 29332
9664 1357 9402
3776 17892 17233
18118 20689 15534
8523 10689 11045
29104 12377 18170
7073 18 6161
6288 12272 27791
22996 15481 4141
15851 10257 24684
21652 13936 5939
15883 27177 25049
6288 10800 9511
1150 26736 8607
20887 15994 14266
135 27541 9925
18969 7390 29152
29226 10360 18902
595 18121 7571
27150 25646 22462
15708 19122 16121
29659 9207 19092
3906 19947 14063
27476 26935 25224
23427 19910 1557
20877 18396 19833
25699 22339 6969
28144 19504 37
23905 20570 18694
25389 1304 7694
13000 16172 16973
9321 592 17431
19477 18259 9346
20722 26088 25887
20160 28320 23156
8805 20174 25615
14279 29230 6135
9980 9912 28947
11996 14237 16286
25869 3243 19555
15922 29775 17331
4796 17613 29089
25349 891 26598
22114 24030 27506
10371 14541 27227
282 16155 22354
159 3949 23953
9372 29137 11102
230 24602 218
3201 12813 27340
2571 22857 23096
14981 20016 24974
25416 7076 21181
847 28579 28161
17332 4004 27957
10437 28926 24169
17137 19437 3056
27301 19659 22268
18473 18744 12227
21888 28951 12221
27972 6895 17421
10481 12747 12067
19051 7491 18892
7771 8786 18995
20663 18554 25783
26515 29201 3940
20709 3345 1222
11835 9889 10299
21493 16167 5767
15787 2935 18622
23311 28116 17040
12498 18436 10869
8934 22016 3312
26414 21868 7591
6905 26277 3803
154 18162 10641
29735 7665 2538
2355 24584 6532
1407 1223 27470
23121 19235 6262
2011 22970 1029
21639 17934 26100
7870 27404 17316
7264 8253 2356
25779 17234 24450
20211 14740 21123
18042 14215 1963
4742 19788 17638
2520 29291 1418
24074 5862 12264
23789 26256 13935
6002 5 13064
21034 4917 24358
27704 8983 21061
15857 26337 4629
13505 16392 5253
805 10305 1034
14659 16912 10052
23049 1408 14074
10262 11878 22023
28187 25294 14377
2412 19004 3620
2327 4506 29531
3373 6067 19027
7712 21985 3579
20661 16726 29877
18173 12821 22758
7679 23926 15031
23194 24649 2558
24485 2792 26469
6911 17412 8860
6672 11249 23891
11843 29433 389
7430 27445 22196
22069 27000 5879
29654 12310 20466
12257 6448 27491
21980 704 10777
21407 28401 7920
3523 20598 8571
24930 23929 25548
23173 18 10080
28912 20393 10122
5724 24407 12595
20491 6072 19103
13806 262 10925
1144 16761 20693
6738 13298 19728
18901 5560 17977
2707 23298 711
7174 6114 1338
6377 18687 26543
15298 28204 7396
26345 29373 28386
20327 11259 28135
15997 608 17236
15409 15040 18175
24426 29021 19038
5146 4488 26870
11085 15150 6336
12566 3335 5025
11234 13694 21647
8247 10687 5104
23981 10946 7905
15570 5475 27300
22814 15307 4458
29394 3798 27378
6902 12266 7752
18340 28525 14940
16395 3712 9667
7592 29334 8767
24357 17847 24586
28703 11591 9082
18615 11391 7252
13551 24821 16919
10189 26679 9630
17423 6120 12658
21243 19983 9088
12605 13728 5392
1058 447 12605
10866 18015 17501
23343 1406 16742
21312 13109 8045
28829 22309 19378
14138 5215 19152
21529 19205 29962
6369 18149 28600
27715 6696 25532
7826 8672 26670
10499 10208 21210
2502 27215 21589
2201 24553 10518
1905 9833 12437
20134 11827 27973
3304 3206 20125
8366 29042 16954
23682 18861 40
6517 8352 5303
895 18655 22797
19551 23801 25816
13222 20584 847
12892 18837 10968
2403 12529 5027
9663 10390 10914
21762 15681 8912
11005 24272 15341
18423 6096 26806
20395 13064 23482
22280 16846 13306
24640 5063 2251
18673 21800 13512
25455 12477 2459
7688 22206 28459
28454 25461 2208
9471 25878 17178
23120 23882 25314
4634 16271 15952
4464 29559 18726
8984 1911 23987
5467 7110 25765
8655 17879 24407
12419 1136 11726
24213 23964 14785
19093 19984 11750
28665 8884 21568
26639 11211 13729
23974 3087 7261
18227 8887 28235
12571 4563 24670
22615 18985 13902
3882 16228 8496
26840 15770 20996
18783 22966 17592
8057 16898 12932
274 26149 26450
16825 20622 16399
22760 5086 11227
22577 17567 16083
4486 4703 458
11019 12720 21733
28926 19790 22005
10821 8463 28344
29717 13209 19545
15920 26359 21099
23343 14663 14852
28388 3617 22241
24171 15648 21483
14495 4135 17979
12106 6264 9331
10781 11965 16513
28672 3363 192
16131 1844 26828
10178 25873 18250
1150 18708 8303
16648 2041 29977
